Date,In the right direction,On the wrong track,Difficult to answer,Net
2012-05-01,49,33,18,16
2012-06-01,44,38,18,6
2012-07-01,44,38,18,6
2012-08-01,41,41,18,0
2012-09-01,42,39,19,3
2012-10-01,43,39,18,4
2012-11-01,40,44,16,-4
2012-12-01,41,41,18,0
2013-01-01,42,41,17,1
2013-02-01,41,42,17,-1
2013-03-01,41,43,16,-2
2013-04-01,41,41,18,0
2013-05-01,40,40,20,0
2013-06-01,41,43,16,-2
2013-07-01,40,41,18,-1
2013-08-01,40,43,17,-3
2013-09-01,40,43,17,-3
2013-10-01,40,43,18,-3
2013-11-01,40,41,19,-1
2013-12-01,41,39,20,2
2014-01-01,43,41,17,2
2014-02-01,47,37,16,10
2014-03-01,60,26,15,34
2014-04-01,58,26,16,32
2014-05-01,60,23,17,37
2014-06-01,62,22,17,40
2014-07-01,55,26,19,29
2014-08-01,64,22,14,42
2014-09-01,62,22,17,40
2014-10-01,60,23,17,37
2014-11-01,59,22,19,37
2014-12-01,56,27,18,29
2015-01-01,55,27,18,28
2015-02-01,54,29,17,25
2015-03-01,57,25,19,32
2015-04-01,60,23,18,37
2015-05-01,60,23,17,37
2015-06-01,64,22,14,42
2015-07-01,59,23,18,36
2015-08-01,55,29,17,26
2015-09-01,55,26,19,29
2015-10-01,61,25,14,36
2015-11-01,55,27,18,28
2015-12-01,56,27,16,29
2016-01-01,45,34,21,11
2016-02-01,51,34,15,17
2016-03-01,51,30,19,21
2016-04-01,50,32,19,18
2016-05-01,49,33,18,16
2016-06-01,50,33,18,17
2016-07-01,46,37,17,9
2016-08-01,51,33,17,18
2016-09-01,50,32,19,18
2016-10-01,55,30,16,25
2016-11-01,56,26,18,30
2016-12-01,53,31,16,22
2017-01-01,54,30,16,24
2017-02-01,53,31,16,22
2017-03-01,52,33,16,19
2017-04-01,51,32,17,19
2017-05-01,56,28,16,28
2017-06-01,55,30,15,25
2017-07-01,55,29,17,26
2017-08-01,57,29,13,28
2017-09-01,54,28,18,26
2017-10-01,57,27,16,30
2017-11-01,56,29,16,27
2017-12-01,58,28,14,30
2018-01-01,55,28,17,27
2018-02-01,54,30,16,24
2018-03-01,58,27,16,31
2018-04-01,60,26,14,34
2018-05-01,56,27,16,29
2018-06-01,46,42,12,4
2018-07-01,48,40,12,8
2018-08-01,45,43,12,2
2018-09-01,47,41,12,6
2018-10-01,49,40,12,9
2018-11-01,47,42,11,5
2018-12-01,45,44,11,1
2019-01-01,42,45,13,-3
2019-02-01,45,46,9,-1
2019-03-01,48,44,9,4
2019-04-01,49,43,9,6
2019-05-01,49,40,11,9
2019-06-01,48,41,10,7
2019-07-01,50,41,9,9
2019-08-01,49,42,10,7
2019-09-01,49,41,10,8
2019-10-01,52,38,10,14
2019-11-01,48,42,11,6
2019-12-01,49,43,8,6
2020-01-01,52,39,10,13
2020-02-01,53,38,10,15
2020-03-01,48,42,10,6
2020-04-01,42,42,17,0
2020-05-01,43,42,15,1
2020-06-01,43,41,16,2
2020-07-01,42,40,18,2
2020-08-01,51,42,7,9
2020-09-01,50,40,10,10
2020-10-01,49,43,8,6
2020-11-01,48,43,9,5
2020-12-01,48,43,9,5
2021-01-01,49,40,10,9
2021-02-01,49,43,8,6
2021-03-01,48,42,10,6
2021-04-01,49,41,9,8
2021-05-01,51,40,10,11
2021-06-01,49,43,8,6
2021-07-01,47,44,9,3
2021-08-01,48,44,9,4
2021-09-01,46,45,9,1
2021-10-01,48,43,9,5
2021-11-01,46,44,10,2
2021-12-01,48,44,8,4
2022-01-01,50,39,11,11
2022-02-01,52,38,10,14
2022-03-01,69,22,9,47
2022-04-01,66,24,10,42
2022-05-01,68,22,10,46
2022-06-01,68,22,9,46
2022-07-01,68,22,10,46
2022-08-01,67,24,9,43
2022-09-01,60,27,12,33
2022-10-01,64,24,12,40
2022-11-01,61,27,12,34
2022-12-01,63,24,13,39
2023-01-01,66,24,10,42
2023-02-01,68,21,11,47
2023-03-01,66,23,11,43
2023-04-01,68,21,11,47
2023-05-01,67,23,10,44
2023-06-01,61,23,16,38
2023-07-01,66,23,12,43
2023-08-01,62,24,13,38
2023-09-01,62,26,12,36
2023-10-01,64,21,15,43
2023-11-01,67,21,12,46
2023-12-01,69,21,11,48
2024-01-01,71,18,11,53
2024-02-01,75,15,11,60
2024-03-01,73,16,12,57
2024-04-01,71,17,12,54
2024-05-01,71,17,13,54
2024-06-01,75,17,9,58
2024-07-01,72,17,12,55
2024-08-01,67,20,20,47
