Date,Approve,Disapprove,No_answer,Putin_Index
2010-06-01,78,20,2,58
2010-07-01,77,21,2,56
2010-08-01,78,20,2,58
2010-09-01,77,21,2,56
2010-10-01,77,20,3,57
2010-11-01,78,19,2,59
2010-12-01,79,19,2,60
2011-01-01,72,25,3,47
2011-02-01,73,25,2,48
2011-03-01,69,29,2,40
2011-04-01,71,27,2,44
2011-05-01,69,29,1,40
2011-06-01,69,30,2,39
2011-07-01,68,31,1,37
2011-08-01,68,30,2,38
2011-09-01,68,31,2,37
2011-10-01,66,31,3,35
2011-11-01,67,32,1,35
2011-12-01,63,36,1,27
2012-01-01,64,34,2,30
2012-02-01,65,34,1,31
2012-03-01,68,31,1,37
2012-04-01,67,32,1,35
2012-05-01,69,30,1,39
2012-06-01,64,34,2,30
2012-07-01,67,32,1,35
2012-08-01,63,35,2,28
2012-09-01,67,31,2,36
2012-10-01,67,32,1,35
2012-11-01,63,36,1,27
2012-12-01,65,35,1,30
2013-01-01,62,37,1,25
2013-02-01,65,34,1,31
2013-03-01,63,36,1,27
2013-04-01,63,37,1,26
2013-05-01,64,35,1,29
2013-06-01,63,35,1,28
2013-07-01,65,35,1,30
2013-08-01,63,36,1,27
2013-09-01,64,35,1,29
2013-10-01,64,35,1,29
2013-11-01,61,37,2,24
2013-12-01,65,34,2,31
2014-01-01,65,34,1,31
2014-02-01,69,30,1,39
2014-03-01,80,18,2,62
2014-04-01,82,17,1,65
2014-05-01,83,16,1,67
2014-06-01,86,13,1,73
2014-07-01,85,14,1,71
2014-08-01,84,15,1,69
2014-09-01,86,14,1,72
2014-10-01,88,11,1,77
2014-11-01,85,14,2,71
2014-12-01,85,14,1,71
2015-01-01,85,15,1,70
2015-02-01,86,13,1,73
2015-03-01,85,14,1,71
2015-04-01,86,13,1,73
2015-05-01,86,13,1,73
2015-06-01,89,10,1,79
2015-07-01,87,12,1,75
2015-08-01,83,17,1,66
2015-09-01,84,15,1,69
2015-10-01,88,12,1,76
2015-11-01,85,14,1,71
2015-12-01,85,14,1,71
2016-01-01,82,18,1,64
2016-02-01,81,19,1,62
2016-03-01,82,17,1,65
2016-04-01,82,17,1,65
2016-05-01,80,19,1,61
2016-06-01,81,18,1,63
2016-07-01,82,17,1,65
2016-08-01,82,18,1,64
2016-09-01,82,18,1,64
2016-10-01,84,16,1,68
2016-11-01,86,14,1,72
2016-12-01,84,15,1,69
2017-01-01,85,14,1,71
2017-02-01,84,15,1,69
2017-03-01,82,17,1,65
2017-04-01,82,18,1,64
2017-05-01,81,18,1,63
2017-06-01,81,18,1,63
2017-07-01,83,15,2,68
2017-08-01,83,15,1,68
2017-09-01,83,17,1,66
2017-10-01,82,17,1,65
2017-11-01,81,18,1,63
2017-12-01,82,17,1,65
2018-01-01,80,18,2,62
2018-02-01,76,22,2,54
2018-03-01,80,19,1,61
2018-04-01,82,17,1,65
2018-05-01,79,20,1,59
2018-06-01,79,20,1,59
2018-07-01,67,32,1,35
2018-08-01,70,30,1,40
2018-09-01,67,33,1,34
2018-10-01,66,33,1,33
2018-11-01,66,33,1,33
2018-12-01,66,33,1,33
2019-01-01,64,34,1,30
2019-02-01,64,35,1,29
2019-03-01,64,34,2,30
2019-04-01,66,33,1,33
2019-05-01,66,32,2,34
2019-06-01,68,31,1,37
2019-07-01,68,31,1,37
2019-08-01,67,31,1,36
2019-09-01,68,31,1,37
2019-10-01,70,29,1,41
2019-11-01,68,31,1,37
2019-12-01,68,31,1,37
2020-01-01,68,31,1,37
2020-02-01,69,30,1,39
2020-03-01,63,36,2,27
2020-04-01,59,33,8,26
2020-05-01,59,34,7,25
2020-06-01,60,35,6,25
2020-07-01,60,33,6,27
2020-08-01,66,33,1,33
2020-09-01,69,30,1,39
2020-10-01,68,31,1,37
2020-11-01,65,34,1,31
2020-12-01,65,34,1,31
2021-01-01,64,34,2,30
2021-02-01,65,34,2,31
2021-03-01,63,35,2,28
2021-04-01,65,33,2,32
2021-05-01,67,32,2,35
2021-06-01,66,32,2,34
2021-07-01,64,35,1,29
2021-08-01,61,37,2,24
2021-09-01,64,34,2,30
2021-10-01,67,33,1,34
2021-11-01,63,35,2,28
2021-12-01,65,34,1,31
2022-01-01,69,29,2,40
2022-02-01,71,27,1,44
2022-03-01,83,15,2,68
2022-04-01,82,17,1,65
2022-05-01,83,15,2,68
2022-06-01,83,16,1,67
2022-07-01,83,15,2,68
2022-08-01,83,15,2,68
2022-09-01,77,21,2,56
2022-10-01,79,19,2,60
2022-11-01,79,18,3,61
2022-12-01,81,17,2,64
2023-01-01,82,16,2,66
2023-02-01,83,14,2,69
2023-03-01,82,15,3,67
2023-04-01,83,14,3,69
2023-05-01,82,15,2,67
2023-06-01,81,16,3,65
2023-07-01,82,15,3,67
2023-08-01,80,16,4,64
2023-09-01,80,17,3,63
2023-10-01,82,15,3,67
2023-11-01,85,13,2,72
2023-12-01,83,14,3,69
2024-01-01,85,12,2,73
2024-02-01,86,11,3,75
2024-03-01,87,11,3,76
2024-04-01,85,12,3,73
2024-05-01,87,11,3,76
2024-06-01,87,11,2,76
2024-07-01,87,11,2,76
2024-08-01,85,12,4,73
